Tablas,Base,Etiqueta
ENT_ENTIDADES,GEMINIS,Entidades
ent_domicilios,GEMINIS,Domicilios
zip_ciudades,GEMINIS,Ciudades
M000_FERIADOS_ANUALES,GEMINIS,FeriadosAnuales
GEM_ENTIDADES,GEMINIS,Entidades Geminis
ENT_ENT_TIPOS,GEMINIS,EntTipos
CCP_EMPRESAS,GEMINIS,Empresas
CTE_BANCOS,GEMINIS,Bancos
CTE_NO_PROVEEDORES,GEMINIS,EntidadesNoProveedores
CTE_TIPO_COMPROBANTES,GEMINIS,TiposComprobantes
CTE_TIPO_MOVIMIENTOS,GEMINIS,TiposMovimientos
CTE_SUBMOD_COMPROBANTES,GEMINIS,SubModComprobantes
CTE_VENDEDOR_COBRADORES,GEMINIS,VendedorCobradores
CTE_IMPUESTOS,GEMINIS,Impuestos
CTE_MOV_CONCEPTOS,GEMINIS,ConceptosMovimientos
CTE_MEDIO_COBROS,GEMINIS,MediosCobros
CTE_MEDIO_PAGOS,GEMINIS,MediosPagos
CCP_CONTROLES,GEMINIS,Controles
CCP_COMPROBANTES,GEMINIS,Comprobantes
CCP_SUBMODULOS,GEMINIS,SubModulos
STK_ITEM_STOCKS,GEMINIS,Articulos
SA_VPROVINCIA_PAIS,GEMINIS,Paises
CCP_MONEDAS,GEMINIS,Monedas
CCP_ASIENTO_TIPOS,GEMINIS,TiposAsientos
STK_TIPO_STOCKS,GEMINIS,TipoStocks
PRY_VW_PROYECTOS,GEMINIS,Proyectos
STK_UNID_MEDIDAS,GEMINIS,UnidadesMedida
CCP_CLASIFICACIONES1,GEMINIS,SubRubroGestion
CCP_CLASIFICACIONES2,GEMINIS,CuentaContableGestion
CCP_CPR_COLUMNA_SALDOS,GEMINIS,ColumnaSaldos
CTE_CONSTANCIA_INSCRIPCION,GEMINIS,ConstanciaIncrispcionAFIP
CTE_TIPO_PAGO_COBROS,GEMINIS,Tipo Pagos/Cobros
CTE_BCO_CUENTAS,GEMINIS,Cuenta Banco
GRL_CON_IVAS,GEMINIS,CondicionIVA
ENT_REG_GANANCIAS,GEMINIS,RegimenGanancias
ENT_REG_IBRUTOS,GEMINIS,RegimenIngresosBrutos
CCP_CUENTAS,GEMINIS,Cuentas
CTE_MOV_APLICACIONES,GEMINIS,CteMovAplicaciones
CCP_SALDOS,GEMINIS,CcpSaldos
